"","sum.w","X.Intercept.","perc_log_vac","perc_maison","perc_tiny_log","dens_pop","med_niveau_vis","part_log_suroccup","part_agri_nb_emploi","part_cadre_profintellec_nbemploi","X.Intercept._se","perc_log_vac_se","perc_maison_se","perc_tiny_log_se","dens_pop_se","med_niveau_vis_se","part_log_suroccup_se","part_agri_nb_emploi_se","part_cadre_profintellec_nbemploi_se","gwr.e","pred","pred.se","localR2","X.Intercept._se_EDF","perc_log_vac_se_EDF","perc_maison_se_EDF","perc_tiny_log_se_EDF","dens_pop_se_EDF","med_niveau_vis_se_EDF","part_log_suroccup_se_EDF","part_agri_nb_emploi_se_EDF","part_cadre_profintellec_nbemploi_se_EDF","pred.se.1","coord.x","coord.y"
"1",46.6990924546821,1495.6945710386,-718.439013230226,-92.9233256976354,-90.6083863770642,-67.8539155328003,185.796868952767,313.782036035069,-209.375221848061,77.1640862262893,41.5049889441028,45.3009047323976,42.7578645209479,59.2998230799875,65.3147689809874,21.2555948563343,59.2455720264207,60.8305595336599,39.1406833289278,-103.279647719447,2653.27964771944,65.6798310098412,0.792840906334284,43.0451206704734,46.9818920639595,44.3444868855328,61.5002703326454,67.738413715447,22.0443293394396,61.4440061772585,63.0878080489368,40.593082419261,68.117022154673,963918.070130028,6554141.99780098
"2",34.2024298981556,1893.94692067399,-255.3304241884,-460.277427801313,-390.881285389738,250.141116209414,502.363892975346,204.768500701019,-16.6002104805057,-31.9617009576665,78.0058145860138,66.593395036029,104.096651603839,123.397263932116,137.150221088771,117.469564557268,173.878251450721,87.3923930286583,101.802501397798,-71.4240348855832,1711.42403488558,67.4022847929905,0.906516026947987,80.9003878154416,69.064485935483,107.959381358085,127.976184345397,142.239474505077,121.828524958419,180.330377289033,90.6352754042721,105.580101783087,69.9033912835705,317868.31382412,6720648.87313378
"3",53.1053406659202,1282.86571712264,-81.3323290125136,318.890865679157,322.929584945524,273.73763616961,408.544543359474,116.752427645786,-65.702325606619,-27.3200477037773,31.0995642352343,34.9935478402121,74.79217115288,78.1228040771149,14.6118746518343,31.126600438882,53.5503906237015,34.4236896447421,36.6947927223036,-33.7903054701917,863.790305470192,64.9313923275043,0.959652396786507,32.253580337238,36.2920585642978,77.5674952429988,81.0217184527876,15.1540796326222,32.2816197772691,55.5374928409836,35.7010545569939,38.0564317903279,67.3408110481231,752439.194714994,6822499.98932968
"4",49.0164274576755,1950.25527713696,-181.50355792777,124.100178149066,-144.597544288957,9.36500512227435,383.865577576637,519.204678649547,-192.489420821341,-72.8396965394875,33.881733397688,38.8294179857586,46.4904345080468,73.9701544533472,89.5820723923774,45.7980393129529,71.8429794496513,31.9919804895226,53.1126013521024,-15.5428863918059,1645.54288639181,69.0953117996565,0.813945508207207,35.1389878598078,40.2702669072439,48.2155618958657,76.7149758489523,92.9062075220441,47.4974738904789,74.5088674496796,33.1791116126677,55.0834584585242,71.6592416922636,837964.217786645,6353044.99303838
"5",47.7650797618039,1260.85950743401,-99.6092834476787,168.867674720186,178.768434566607,269.827843310227,410.417736608844,134.8339270741,-42.4251164724808,-45.8554886516067,56.5499262076935,36.333402241369,109.780711004139,101.262877645698,17.3939146233015,35.5585947188758,77.7644977127088,42.5038730511502,42.5097847736018,135.000168660283,1164.99983133972,60.2757991686109,0.936949851902919,58.6483326328506,37.6816311396895,113.854359986161,105.020454133087,18.0393531702966,36.8780727205552,80.650116361443,44.0810705169262,44.0872016065319,62.512462109467,627693.055010683,6723071.81041303
"6",51.1247171324567,1333.41571817585,-206.613288041416,40.3501673434175,21.0239753287953,78.9233508227064,287.375592494155,161.638180714834,-59.1220472655225,20.4966588068725,36.7127173361881,34.4826467266798,58.5620069899374,90.1440898529977,98.2738493927187,25.795193651595,107.767260664525,45.7380524536439,49.4796787410645,28.1291718451887,1801.87082815481,68.2812413439923,0.880486646334253,38.0750215354949,35.7621993680384,60.735075992476,93.4890798471975,101.92051156931,26.7523796945595,111.766196248799,47.4352610899629,51.3157284540848,70.8149634045251,866752.115300057,6682595.22436982
"7",46.6191532457699,1270.79347811666,-96.0243544666741,115.636693775578,112.840431936592,262.588708924622,399.205204778672,156.075068575801,-40.8329352722549,-32.4631154415568,56.1425563941645,38.1331526596017,108.209926348431,109.789891952202,19.3786652799589,42.343501450382,84.2286313970245,38.7636131613458,47.8212767077874,-25.4842552683007,915.484255268301,47.1959874211837,0.927120095820086,58.2258464877638,39.5481651612717,112.225287993314,113.863881613014,20.0977522613474,43.9147479835922,87.3541156046707,40.2020202535376,49.5957878527584,48.9472958646733,653963.824279198,6706763.44164157
"8",19.6801910079906,1937.01165405563,-418.043854869132,248.355622418525,-159.098735250204,-53.838808653826,404.455056431863,593.393628866962,-368.932293982371,-86.4713884624157,82.7332046021183,104.576546334398,74.9468105318158,105.094230632959,84.0559827011589,125.008475864333,66.4479851996617,97.0535953485859,61.658940643841,-360.672083673272,3450.67208367327,124.682204151654,0.925501092395851,85.8031977878442,108.457083612959,77.7278728481022,108.993977698892,87.1750604082667,129.647183755646,68.9136803549411,100.654977378972,63.9469280187532,129.30880503056,999909.380721555,6287081.15559502
"9",49.0977707731699,1237.53247699892,-98.9620342635435,239.053295214591,240.555415525083,273.00010674972,414.104644156006,136.787944075489,-44.6018627139898,-53.1020474300671,55.0426836295808,35.6346701454174,104.847771870231,94.6616614466987,16.3218393041364,32.1762548761211,71.8198332752463,44.5538201504839,38.2188723192348,-46.8952889997205,1756.89528899972,81.7679090609729,0.943524438186214,57.0851605828132,36.9569710891333,108.738373554623,98.1742856341512,16.9274961946581,33.3702238960198,74.4848623867783,46.2070853046364,39.6370656329164,84.802082883146,620749.108219345,6737126.34220929
"10",58.1940812506325,1191.23703443257,-139.795508726824,-227.669474147161,-82.1923089926247,18.1126178891358,368.974326326301,94.709766085095,-22.6560641769093,55.2917333308941,44.3987809751874,40.7359071625585,72.8696782428196,111.510945348635,78.0299586372701,33.3989599535167,134.212526657657,40.2776044930303,49.5984744410861,352.88908753468,607.11091246532,63.9818419280914,0.892171609823298,46.0462930678699,42.247500458199,75.5736641059004,115.648798390839,80.9254277835572,34.6383000704715,139.19277061484,41.7721914841378,51.4389323236113,66.3560255424464,970273.283421661,6812908.49767581
