id_IRIS;label_iris;code_insee;label_com;tx_bas_revenu;PartPop_fr;hlm_res_princ;unevoiture;120₊;masc_cadre;fem_cadre
132150303;Bernabo;13215;Marseille 15e Arrondissement;56,5;-0,0332844417345765;0,374643386866993;-0,00481142366613776;-0,695602820597599;-0,883117212020589;0,539438897828112
132150401;Consolat;13215;Marseille 15e Arrondissement;68,5;-0,921648839573978;1,62211099490314;-0,542023612418694;-0,709834123217237;-1,23349405587535;1,9452692411039
132150402;Cap Janet;13215;Marseille 15e Arrondissement;58,4;-0,373829264852754;0,210102142909237;-0,174328950534757;-0,591571880070566;-1,19781285297774;1,17648751113264
132150501;Zoccolat;13215;Marseille 15e Arrondissement;85,7;-2,02525200815885;-0,694354798284163;-1,37801581605068;-0,739640025486786;-1,02872122972862;1,68210661829585
132150502;Cap Pinède;13215;Marseille 15e Arrondissement;60,1;-1,30697011595239;-0,677046029255094;-1,48847708385305;0,199904040481448;-1,39804537777157;2,64537685608776
132150601;Germaine-Servières;13215;Marseille 15e Arrondissement;35,3;0,509612111852886;-0,775719379568086;1,00158625941695;-0,640240012983531;-1,07111034809049;0,0894270531887866
132150602;Maurelette;13215;Marseille 15e Arrondissement;68,5;-1,87795664330004;-0,688219403159167;0,147292881263847;-0,747387502714767;-1,12400821160131;1,33957244000817
132150603;La Dauphine-Tilleuls;13215;Marseille 15e Arrondissement;41;0,120225008766433;0,102367679557107;0,706773174348602;-0,628697621021736;-1,21485297036589;0,555694134913654
132150701;La Solidarité;13215;Marseille 15e Arrondissement;71,1;-0,0664545946093156;2,43144207742624;-0,462034745496512;-0,0859766589251864;-1,02869845537113;1,83591538521141
132150702;Kalliste;13215;Marseille 15e Arrondissement;74,3;-0,927770404892634;0,313376993724824;-0,951598250067622;-0,00583809217975064;-1,10212338599376;2,79146016937682
132150703;Baumillons;13215;Marseille 15e Arrondissement;53,8;-0,461409620145397;-0,238880121893293;0,744702286073943;-0,397811306061788;-1,23462237397004;1,19317458297106
132150705;Fabrettes Bourrely;13215;Marseille 15e Arrondissement;47,2;0,169588541507324;1,10786324192341;0,66610894566523;-0,287438397250704;-1,01422078957412;0,571821977089179
132150801;Résidence Nord;13215;Marseille 15e Arrondissement;47,1;-0,0349883800076857;-0,695263316159665;0,632190406511003;-0,806480054856778;-0,858588116489297;0,356597979234875
132150802;Palanque-Vallon des Tuves;13215;Marseille 15e Arrondissement;32,7;0,935868650347015;0,205585953904492;0,812194413145244;0,426280926161725;-1,43408127450967;0,662286970220226
132150803;Plan d'Aou-Mimet;13215;Marseille 15e Arrondissement;49,4;-0,340356458451647;1,00031893970354;-0,0980430681656971;-0,466575095125434;-0,66314875956247;0,465087281122397
132150901;Créneaux-Parc Saint-Louis;13215;Marseille 15e Arrondissement;62,5;-1,05824549128496;0,609965559583798;-0,0498474801311619;-0,664838404689055;-1,25207428911115;1,3231663428505
132150902;Campagne Lévêque-Abattoirs;13215;Marseille 15e Arrondissement;73,9;-0,526613767412923;2,14142794353389;-1,06982242549158;-0,764440087861984;-1,34061136306291;1,80791601090696
132150903;Cité et Résidence Saint-Louis;13215;Marseille 15e Arrondissement;48,6;-0,299497128971806;0,194911979420046;0,295182358262449;-0,717680882641327;-1,26896681374978;-0,0778685293651216
132151001;La Bricarde;13215;Marseille 15e Arrondissement;72,8;-0,0479842235556139;2,65373684477931;-0,82411692551859;-0,62091236159238;-1,39056603884479;2,58219596490869
132151002;La Castellane;13215;Marseille 15e Arrondissement;84;-0,153439320301389;3,25271795333291;-1,48870155954168;-0,806480054856778;-1,45055226369782;2,82514624544604
132151003;Verduron Village;13215;Marseille 15e Arrondissement;19,5;0,777468274065935;-0,736616398685389;0,986732004593126;0,341018405297739;-0,22763733338899;-0,271313653688996
132151101;Cités de la Viste;13215;Marseille 15e Arrondissement;74,5;-1,11542800367803;3,06491943307394;-0,494682874010075;-0,806480054856778;-1,33188846065212;1,28108150523841
132151102;La Viste Village;13215;Marseille 15e Arrondissement;44;0,248229812729554;0,217860408766949;0,577349660770096;-0,716402726399119;-0,820652442934393;0,509515149595255
132160101;Château Bovis;13216;Marseille 16e Arrondissement;23,3;0,664007124095789;-0,500777339487437;0,542594245144306;0,0424922502729791;0,402318550035789;0,0541874551809114
132160102;Château Fallet;13216;Marseille 16e Arrondissement;29,6;0,487391836026633;-0,0794499499223843;0,482300312802561;-0,318617605431707;0,689962295633124;-0,498172054158433
132160103;Fenouil Sacoman;13216;Marseille 16e Arrondissement;33,1;0,478959506192036;-0,0429941792190477;0,359776502011172;-0,369894881546888;-0,201840653880838;-0,443834521336287
132160301;Grawitz Labro;13216;Marseille 16e Arrondissement;;0,596860904425507;0,0374773322079368;0,18161542171735;-0,163947032624736;-0,708631293832862;-0,276693674719817
132160302;Séon;13216;Marseille 16e Arrondissement;;0,0939335322707727;1,86848726182902;-0,322126279935298;-0,315868474802983;-1,07985167523872;1,95582199828615
132160401;Mourepiane;13216;Marseille 16e Arrondissement;34,5;0,733613649175937;0,403501435340777;0,324966085477096;0,1404504417429;0,034668675143429;-0,499522940448477
132160403;La Pelouque;13216;Marseille 16e Arrondissement;44,1;0,209837603221361;1,48038637077044;0,439078847790396;-0,386797471194088;-1,02776775394203;0,193237657234321
132080403;Lord Duveen;13208;Marseille 8e Arrondissement;12,1;0,560170971593135;-0,639514613849484;0,344180418202363;3,08243200860992;1,64962550494264;-0,409621599439728
132080404;Crémieux Vallence;13208;Marseille 8e Arrondissement;13,2;0,786531585042519;-0,225662892685319;-0,037704714783327;3,1861365735556;2,29701886606784;-0,0978805360462609
132080405;Cadenelle;13208;Marseille 8e Arrondissement;10,2;0,771260093602354;-0,730248994902377;1,01374301947462;4,64310908462022;2,02123529517246;0,414734436369815
132080406;Les Boucles Périer;13208;Marseille 8e Arrondissement;12,5;0,554028484276561;-0,765754921569042;0,790082143180883;1,68888416017501;2,15817472453631;-0,566715020229797
132080501;La Plage;13208;Marseille 8e Arrondissement;16,5;0,609994605710846;0,189888253096859;0,507013357824393;2,57915473607076;1,61286741532064;-0,544470543839509
132080601;Port de la Pointe Rouge;13208;Marseille 8e Arrondissement;12,6;0,838010567443416;-0,759406204361533;0,900188410907279;0,771985522499989;1,12492431139272;-0,842996326524017
132080602;Marseilleveyre;13208;Marseille 8e Arrondissement;;0,859909209472587;0,16320281994952;1,13087867573208;0,188472961134774;1,50865094896042;-0,774658308765787
132080603;Les Tours Granados;13208;Marseille 8e Arrondissement;;0,95048007362975;-0,775719379568086;1,4408386723012;-0,45390856147842;1,09486799202579;-0,710996200300309
132080604;Roy d'Espagne Chabrier;13208;Marseille 8e Arrondissement;15;0,847644818028752;-0,775719379568086;0,623512327102391;-0,232552310900233;0,333201423300201;-0,926434821467927
132080701;Turcat Méry;13208;Marseille 8e Arrondissement;23,1;-0,230258136374022;-0,586372407373697;-0,156928617144187;-0,408097359523925;0,778587817071362;-0,516609681720023
132080702;Roger Renzo;13208;Marseille 8e Arrondissement;25,8;-0,28013281063826;-0,471358530097644;0,0460519568452885;-0,587054351022293;1,61401837787001;-0,549602610509974
132080703;Rabatau;13208;Marseille 8e Arrondissement;29;0,13845150226483;0,00947994103262669;-0,133021598668307;-0,468256878243246;0,615049904995622;-0,579663766406285
132080704;Louvain;13208;Marseille 8e Arrondissement;22,5;0,430929482817808;-0,420111461617523;0,34865739186909;-0,504111237283395;0,722302599722237;-0,740634553517125
132080801;Parc Chanot;13208;Marseille 8e Arrondissement;37,1;0,00790607488785984;0,64077375138664;-0,973468163756139;-0,71694031553304;0,345309011392632;0,947303264166682
132080802;Grand Saint-Giniez;13208;Marseille 8e Arrondissement;26,5;0,497557609953095;0,467342307125712;-0,125850956235995;-0,725867390314064;0,277022490186042;-0,819738991342616
