"SIREN";"prix_med";"perc_log_vac";"perc_maison";"perc_tiny_log";"dens_pop";"med_niveau_vis";"part_log_suroccup";"part_agri_nb_emploi";"part_cadre_profintellec_nbemploi"
200023919;1400;1,31365685196115;0,408423458490609;-0,234981841612195;-0,253952676320567;0,101561007721096;-0,005884264556429;0,045457323957775;-0,105103671064495
200026573;890;1,87282400360456;-1,73490636588264;0,320226982050338;-0,252348602298513;-0,17149016986128;0,060051741021093;-0,779633452613098;0,489549637097303
200027027;2000;-0,87978989148854;0,511922161674993;-0,441509672137749;-0,195136628845273;0,032214676906525;-0,56634031196536;0,004202785129231;-0,518775537611833
200027076;630;1,09953476351728;1,09840654990725;-0,44655924913441;-0,345384895577614;-0,266841374731316;-0,533372309176599;0,313611826343308;-1,13928333743284
200027100;4050;-2,01188011462643;-1,93278147161022;0,43234549323733;-0,129369593941081;0,374612185303473;1,6425158748816;-0,697124374956011;0,050023278890757
200027183;1820;0,140211455091616;-1,56501341279105;1,18805002348413;0,759020068606195;-1,05132174207116;1,37877185257152;-0,862142530270185;0,644676587052555
200027217;1600;-0,056843025584936;-0,0134149085579;0,24069905516577;-0,214385517109915;-0,375195016629084;-0,137756275711471;-0,387715333741934;-0,130958162723703
200027308;800;0,952080885898371;0,948482089818864;-0,926629732132156;-0,373188845293207;0,032214676906525;-0,961956345430488;1,200584411157;-1,16513782909205
200029734;1030;0,988796502350554;0,755827911003666;-0,640632721680579;-0,317848291532363;-0,600570591776443;-0,368532295232796;0,540511789900298;-0,622193504248667
200029999;1350;0,885637626739832;0,273935270899589;-0,239724160089738;-0,174016320888236;0,292263417461169;-0,07182027013395;-0,181442639599215;0,050023278890757
200030195;3970;0,821058942284659;-3,41862239737475;4,19026148042668;0,578294395454838;0,00620980285106;5,76351622347669;-1,02716068558436;1,75641972839852
200030385;1500;0,114280677983502;-0,824205799482171;1,34355789919453;-0,046225090464643;0,110229299072918;1,04909182468391;-0,903397069098729;1,3686023535104
200030435;980;0,4667888724073;-0,070878847844571;-0,118375130277013;-0,288440267794716;-0,180158461213101;-0,170724278500232;0,540511789900298;0,334422687142051
200030526;1870;-0,438076157866827;0,065481444013807;-0,624231335422919;-0,110388051346782;0,782021878839082;-0,632276317542881;-0,408342603156205;-0,130958162723703
200030633;830;0,487850936369503;0,681650844444593;-0,172629399685498;0,062317251694308;-1,3893851047922;-0,302596289655275;-0,57336075847038;-0,363648587656581
200030658;1520;-0,771993134125469;0,071488261876437;-0,594486545942651;-0,36035625311678;0,261924397729794;-0,401500298021557;0,623020867557385;-0,544630029271041
200030674;1090;0,378362056290951;0,244601914812737;0,134347402388061;-0,161985765722835;-0,81727787557198;0,027083738232332;-0,387715333741934;-0,311939604338164
200032514;870;1,45589508347971;1,09308345019005;-0,361589625926681;-0,349127734962405;-0,600570591776443;-0,698212323120402;1,200584411157;-1,19099232075126
200033025;890;1,20265012911342;-0,990466795443863;0,846970839887569;-0,170006135833102;-0,102143839046708;0,093019743809853;-0,924024338513001;0,463695145438094
200033090;2780;-1,36000291463924;0,44871777284338;0,278423142563121;0,052425461891645;2,1212728926955;0,323795763331178;-0,593988027884652;0,101732262209174
200033116;2500;-0,527082933249327;-2,47627052783638;1,19943847070438;0,199465580579879;0,673668236941314;1,6425158748816;-1,02716068558436;1,0842029452591
200033173;3410;-0,825175285895373;-0,122497043705506;1,01865636390234;0,403985018391695;5,08582853501844;0,785347802373827;-1,00653341617009;3,10085329467737
200033181;1950;-0,495982565896068;-1,09320811444243;1,65919192578147;0,021413364131944;0,612990197478563;1,11502783026143;-0,882769799684457;1,18762091189594
200033298;960;0,601910532048565;0,752716971079846;-0,305681502347634;-0,309827921422096;-0,539892552313692;-0,56634031196536;0,664275406385929;-1,11342884577363
200033579;1680;-0,626347795461153;-0,892866685988865;1,49753499223516;0,538727236244186;0,027880531230614;0,620507788430024;-0,944651607927272;1,16176642023673
200033827;2120;-2,21527330689145;-0,467366050417207;-0,253762795085837;-0,348325697951379;-0,929965663145659;0,818315805162588;-0,470224411399021;-0,673902487567084
200033868;910;0,365058565111071;-0,551302941431018;-0,30353405068097;-0,192997863482535;-0,856285186655176;-0,401500298021557;-0,676497105541739;-0,673902487567084
200034023;1880;-0,560617723212052;0,255018643540411;-0,024708019600554;-0,107447248973017;0,582651177747188;-0,56634031196536;-0,738378913784554;0,980784978622266
